1,35004,AL,ACMAR,86.51557,33.584132
1,35005,AL,ADAMSVILLE,86.959727,33.588437
1,35006,AL,ADGER,87.167455,33.434277
1,35007,AL,KEYSTONE,86.812861,33.236868
1,35010,AL,NEW SITE,85.951086,32.941445
1,35014,AL,ALPINE,86.208934,33.331165
1,35016,AL,ARAB,86.489638,34.328339
1,35019,AL,BAILEYTON,86.621299,34.268298
1,35020,AL,BESSEMER,86.947547,33.409002
1,35023,AL,HUEYTOWN,86.999607,33.414625
1,35031,AL,BLOUNTSVILLE,86.568628,34.092937
1,35033,AL,BREMEN,87.004281,33.973664
1,35034,AL,BRENT,87.211387,32.93567
1,35035,AL,BRIERFIELD,86.951672,33.042747
1,35040,AL,CALERA,86.755987,33.1098
1,35042,AL,CENTREVILLE,87.11924,32.950324
1,35043,AL,CHELSEA,86.614132,33.371582
1,35044,AL,COOSA PINES,86.337622,33.266928
1,35045,AL,CLANTON,86.642472,32.835532
1,35049,AL,CLEVELAND,86.559355,33.992106
1,35051,AL,COLUMBIANA,86.616145,33.176964
1,35053,AL,CRANE HILL,87.048395,34.082117
1,35054,AL,CROPWELL,86.280026,33.506448
1,35055,AL,CULLMAN,86.829777,34.176146
1,35061,AL,DOLOMITE,86.956435,33.465424
1,35062,AL,DORA,87.040148,33.734947
1,35063,AL,EMPIRE,87.016139,33.825589
1,35064,AL,FAIRFIELD,86.918262,33.473494
1,35068,AL,COALBURG,86.813614,33.611283
1,35071,AL,GARDENDALE,86.822481,33.71891
1,35072,AL,GOODWATER,86.078149,33.074642
1,35073,AL,ALDEN,86.948221,33.63356
1,35077,AL,HANCEVILLE,86.784844,34.051569
1,35078,AL,HARPERSVILLE,86.429441,33.36746
1,35079,AL,HAYDEN,86.81767,33.885806
1,35080,AL,HELENA,86.813786,33.316978
1,35083,AL,HOLLY POND,86.617441,34.190085
1,35085,AL,JEMISON,86.718052,32.980539
1,35087,AL,JOPPA,86.551939,34.283739
1,35089,AL,KELLYTON,86.048397,32.979068
1,35091,AL,KIMBERLY,86.808417,33.768355
1,35094,AL,LEEDS,86.574824,33.528333
1,35096,AL,LINCOLN,86.111152,33.605913
1,35098,AL,LOGAN,87.038115,34.184079
1,35111,AL,MC CALLA,87.102379,33.284546
1,35114,AL,MAYLENE,86.872745,33.231694
1,35115,AL,MONTEVALLO,86.862228,33.124765
1,35116,AL,MORRIS,86.772551,33.739172
1,35117,AL,MOUNT OLIVE,86.87171,33.67678
1,35118,AL,SYLVAN SPRINGS,87.043998,33.540696
1,35120,AL,ODENVILLE,86.408952,33.675611
1,35121,AL,ONEONTA,86.474118,33.925858
1,35124,AL,INDIAN SPRINGS,86.806176,33.31046
1,35125,AL,PELL CITY,86.343151,33.597889
1,35126,AL,DIXIANA,86.656542,33.708131
1,35127,AL,PLEASANT GROVE,86.976586,33.488336
1,35130,AL,QUINTON,87.10066,33.656065
1,35131,AL,RAGLAND,86.1619,33.736677
1,35133,AL,REMLAP,86.641662,33.846204
1,35135,AL,RIVERSIDE,86.198341,33.608832
1,35136,AL,ROCKFORD,86.240006,32.877957
1,35143,AL,SHELBY,86.553606,33.078483
1,35146,AL,SPRINGVILLE,86.439407,33.738647
1,35147,AL,STERRETT,86.491732,33.446103
